,parent_company,company_profile,website,source_country,sector,sub_sector,cluster,activity,source_country_questionable,comments
81,Modern Energy Management,"Modern Energy Management delivers project lifecycle certainty to renewable energy financiers, developers, operators and investors working in rapidly expanding emerging markets. Its team of engineers and project managers develop, construct and deliver complex, profitable projects in remote, rapidly expanding international markets. The firm was founded in 2013 and is based in Singapore.",modernenergy.co.th,singapore,Renewable energy,Solar electric power,Environmental Technology,Electricity,TRUE,"Orbis confirms Singapore HQ. However, web address has Thai suffix and LinkedIn shows vast majority of staff based in Thailand."
82,Bioengineering AG,"Bioengineering AG designs and manufactures production plants. It offers bioengineering products for amino acids, antibiotics, biomass (probiotics and starter cultures), bio-pesticides, biopolymers and lipids, enzymes, ethanol, flavors and fragrances, fruit juices, monoclonal antibodies, organic acids, peptides/proteins (blood factors, hormones, and growth factors), sugar derivates, vaccines, and vitamins. The company also provides bioequipment, including bioreactors and fermenters, up- and downstream equipment, probes/measuring systems, sampling and harvesting systems, agitation systems, aeration and exhaust systems, vessel accessories, pumps for sterile applications, components for sterile lines, fermenter accessories, and powder handling/mixing systems. It also designs and implements measurement and control engineering solutions for biologics, back up, and data logging and processing, as well as process analysis, management, optimization, and supervision applications. Bioengineering AG was founded in 1972 and is based in Wald, Switzerland.",bioengineering.ch,switzerland,Industrial equipment,General purpose machinery,Life sciences,Manufacturing,,Orbis confirms Swiss HQ. Company website confirms CH HQ.
92,Caribbean Development Bank,"Caribbean Development Bank operates as a multilateral financial institution. The company provides project loans and technical assistance to governments, public agencies, and other entities in borrowing member countries. Caribbean Development Bank was founded in 1969 and is headquartered in Saint Michael, Barbados.",www.caribank.org,barbados,Financial services,Corporate & investment banking,Financial Services,Business Services,,Company website confirms Barbados HQ.
99,BIA Group,"BIA Group provides advice and support for clients in their mining, quarrying, forestry, public works and transport projects. BIA Group offers a range of equipment and accessories from manufacturers such as Komatsu, Sandvik, Bomag, Foton and Cummins. The company is based in Ebene, Mauritius.",www.biagroup.com/afr-en/,mauritius,Industrial equipment,"Agriculture, construction, & mining machinery",Industrial,"Sales, Marketing & Support",,Orbis and goodgle/BIA confirm Belgian HQ.
102,Anheuser-Busch InBev (AB InBev),"Anheuser-Busch InBev, also known as Ab InBev, is a brewing company. It engages in the production, marketing, and distribution of beer in Latin America, North America, Europe and Asia-Pacific. It offers a portfolio of approximately 200 beer brands. The company's global brands include Budweiser, Stella Artois, and Beck's; multi-country brands consist of Leffe and Hoegaarden; and local brands comprise Bud Light, Michelob, Skol, Brahma, Antarctica, Quilmes, Jupiler, Hasseroder, Klinskoye, Sibirskaya Korona, Chernigivske, Harbin and Sedrin. Established in 1366, the company is headquartered in Leuven, Belgium.",www.ab-inbev.com,belgium,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,,Orbis confirms Belgian HQ. Company website confirms Belgian HQ.
111,ASEAN Legal Alliance (ALA),The ASEAN Legal Alliance (ALA) was formed to bring together law firms from each of the 10 member states to provide a truly ASEAN wide legal network. The firm is ASEAN focused on helping its clients to navigate the ASEAN legal landscape. The firm was founded in 2014 and is based in Singapore.,aseanlegalalliance.net/,singapore,Business services,Legal services,Professional Services,Business Services,TRUE,Orbis lists Thailand as HQ location. Company website lists Singapore address.
154,Fracht,"Switzerland-based Fracht provides logistics solutions. The company offers air freight and sea freight delivery in addition to rail, barging and trucking services. Founded in 1955, Fracht is headquartered in Basel, Switzerland.",www.fracht.com,switzerland,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",,Orbis and google search confirm Basel HQ location. Company website confirms CH HQ.
164,DragonEx,DragonEx is a cryptocurrency exchange platform. The firm was founded in 2017 and is based in Singapore.,dragonex.io/,singapore,Financial services,Corporate & investment banking,Financial Services,Business Services,,No info on S&P. Multiple firms with same name listed on Orbis with different HQ locations. Dead company website link
167,CrimsonLogic,"CrimsonLogic designs and builds e-government solutions for governments in Asia, the Middle East, Africa and the Americas. It offers services that provide real-time company and business information and deliver search, retrieval, and information transfer functions. The company also provides a legal portal that enables content providers to provide online access to a repository. The company was founded in 1988 and is based in Singapore. CrimsonLogic was formerly known as Singapore Network Services and changed its name in August 2002. In February 2018, PSA International raised its shareholding in CrimsonLogic from 15% to 45%. The remaining 55% was held by Enterprise Singapore, formerly IE Singapore. On 8 August 2018, PSA International Pte Ltd, an existing shareholder of CrimsonLogic acquired majority control through an additional subscription of shares and share purchase from Enterprise Singapore Holdings. With the completion of the transaction, PSA now holds 70% of CrimsonLogic, with Enterprise Singapore Holdings retaining 30% of shares. Enterprise Singapore Holdings is a 100% wholly-owned subsidiary of Enterprise Singapore.",www.crimsonlogic.com,singapore,Software & IT services,Custom computer programming services,ICT & Electronics,Business Services,,Orbis confirms Singapore HQ. Company website confirms founding as Singapore Network Services.
173,International Workplace Group (Regus),"International Workplace Group (IWG), together with its subsidiaries, provides office outsourcing services. IWG offers its services to property owners and investors, franchisees, brokers, and customers under the Regus, Regus Express, Spaces, Signature, and Open Office brands. Effective October 14, 2008, Regus Group plc became Regus plc. Regus plc was created as a holding company for Regus Group plc, to establish the company's headquarters in Luxembourg, relocating from the UK. The company was formerly known as Regus before rebranding to IWG in December 2016. In December 2016, the company relocated its head office from Luxembourg to Switzerland. IWG was established in 1989 and is based in Zug, Switzerland.",www.iwgplc.com,switzerland,Real estate,Rental & leasing services,Professional Services,Business Services,,"Founded in Belgium, registered in Jersey, HQ in Zug CH. Company website lists HQ as Zug CH."
178,SolarHome,"SolarHome Pte. Ltd. leases solar energy units for rural off-grid households in Southeast Asia. It installs integrated solar energy and appliance units in customers' homes, and offers 'rent-to-own' plans of energy service subscription. The company uses the microfinance structure, Pay-As-You-Go (PAYG), which enables users to pay a monthly fees comparable to their current expenditure on legacy energy sources. The company was founded in 2016 and is based in Singapore. The company also has operations in the Philippines, Cambodia, Myanmar, and Indonesia.",solar-home.asia/en,singapore,Renewable energy,Solar electric power,Environmental Technology,"Sales, Marketing & Support",,S&P confirms Singapore HQ.
180,China Canton Investments,China Canton Investments Ltd. operates as an investment holding company. The company was incorporated in 1995 and is based in Singapore.,,singapore,Food & Beverages,Crop production,Agribusiness,Manufacturing,,Orbis says firm has been liquidated but confirms Singapore HQ. S&P confirms Singapore HQ.
184,Government of Singapore Investment Corporation (GIC),"GIC is the sovereign wealth fund of the Government of Singapore. It was founded in 1981 and is based in Singapore. On 23 July 2013, GIC changed its legal name from Government of Singapore Investment Corporation to GIC.",www.gic.com.sg,singapore,Real estate,Residential building construction,Construction,Construction,,Government of Singapore Sovereign Wealth Fund.
186,Binance,Binance operates a global crypto-currency exchange platform. The company was established in 2017 and is based in Hong Kong.,www.binance.com,hong_kong,Financial services,Corporate & investment banking,Financial Services,Business Services,TRUE,Too many companies on S&P. Company founded by a Shanghai-based business man and it is not clear where headquarters are. Orbis also lists multiple firms and locations. According to Decrypt.co the company is currently based in the Caymans but has no centralized headquarters.
201,Sakthi Trading Group,Sakthi Trading Group is a global leader in Gold and diamond-based commodities from conflict-free zones of the West Africa and East Africa. The firm is based in Hong Kong.,www.sakthitrading.com/,hong_kong,Metals,Nonferrous metal production & processing,Physical Sciences,Manufacturing,TRUE,S&P gives Dubai as HQ for Sakthi but states that it is a subsidiary of IDM Global Holdings (Hong Kong). Company website lists locations in Dubai and Singapore.
211,Lee & Man Paper Manufacturing,"Lee & Man Paper Manufacturing, an investment holding company, manufactures and trades paper and pulp in China and Vietnam. It offers various pulp products, such as dissolved pulp for use in viscoce chemical fibre, bamboo fibre, glass paper, acetate fibre and refined rayon; unbleached bamboo kraft pulp for use in ecru life paper, environmental tableware and food bags; and bleached bamboo kraft pulp for use in tissue papers, fine papers, cigarette papers and cup papers. The company was founded in 1994 and is based in Kwun Tong, Hong Kong.",www.leemanpaper.com,hong_kong,"Paper, printing & packaging","Pulp, paper, & paperboard","Wood, Apparel & Related Products",Manufacturing,TRUE,Orbis lists Cayman Islands incorporation. Listed on HK stock excehange. Seems likely that operations are in China. Wikipedia lists operations as China and links to company webpage (which is Chinese that author cannot read).
213,De Vierschaar,"The Netherlands-based De Vierschaar is the holding firm for a number of companies. The mutual activities within the group include the provision of goods and property leasing. De Vierschaar is based in Ede Gold, Netherlands.",,netherlands,Food & Beverages,Animal food,Agribusiness,Manufacturing,,Listed as Koninklijke De Heus B.V on S&P. Orbis also confirms NL HQ. Unable to find company website.
226,Auston Institute of Management,Auston Institute of Management is a Singapore-headquartered education company focused on engineering and project management titles. The company was founded in 1996.,www.auston.edu.lk,singapore,Business services,"Schools, colleges, universities, & professional schools",Creative Industries,Education & Training,,Listed as AIMT Pte. Ltd. on S&P. Global owner listed as Jinahua Liu on Orbis. Company website confirms Singapore HQ
230,Macan,"Macan participates in all stages of ventures in a range of markets and sectors. The company forms deep partnerships with entrepreneurs to build their firms by committing its time, network and resources. Macan was founded in 2012 and headquartered in Singapore.",www.macan.com.sg,singapore,Business services,"Schools, colleges, universities, & professional schools",Creative Industries,Education & Training,,Company website states that Macan is a fund of European families. Company website lists Singapore address. One of the two staff listed on the company website are in Singapore (other is in Vietnam).
233,Sika,"Sika is a speciality chemical company which develops and manufactures products for the construction industry. The company focuses on the production of systems and products for bonding, sealing, damping, reinforcing and protecting in the building and the motor vehicle industries. The company was established in 1910 and is headquartered in Baar, Switzerland.",www.sika.com,switzerland,Building materials,Cement & concrete products,Construction,Manufacturing,,Swiss HQ confirmed by Orbis. Company website confirms Swiss HQ.
242,New World Development,"New World Development, an investment holding company, invests in, develops, and manages properties in Hong Kong, China, and internationally. Its property portfolio comprises residential estates, office buildings, shopping centres, convention centres, hotels, service apartments, and convention centres. The company is also involved in contracting activities; provision of property and facility management, transport, and other services. Further, the company is engaged in general trading, construction and civil engineering, building construction, consumer products retail, estate agency, marketing and promotion, property agency management and consultancy, liquor and tobacco sale, carpark management, piling and ground investigation, land development, bond issuing, and financing activities, as well as in foundation works. The company was founded in 1970 and is based in Central, Hong Kong.",www.nwd.com.hk,hong_kong,Hotels & tourism,Accommodation,Tourism,Construction,,HK HQ confirmed by Orbis. Confirmed also by company website.
244,Yoma Strategic,"Yoma Strategic Holdings, an investment holding company, engages in real estate, agriculture, automotive, and luxury tourism businesses in Myanmar. The company develops gated community, residential, retail mall, serviced apartments, office towers, and landmark development projects. It is also involved in constructing residential units; rental of properties; property development and management, and design and architectural services; and advertising services, as well as operates quick services restaurants. Yoma Strategic was incorporated in 1962 and is headquartered in Singapore.",www.yomastrategic.com,singapore,Non-automotive transport OEM,"Motorcycle, bicycle, & parts",Transport Equipment,Maintenance & Servicing,TRUE,S&P lists HQ location as Myanmar. Orbis describes as an affiliate of Myanmar-based SPA Group. Company website also seems to suggest Myanmar HQ.
271,Green Leader Holdings Group,"Green Leader Holdings Group Limited, an investment holding company, engages in the distribution of information technology products in Hong Kong and the People's Republic of China. It operates through Systems Integration Services and Software Solutions, Mining Operation, Coal Operation, and Cassava Starch Operation segments. The Systems Integration Services and Software Solutions segment provides information technology products, systems integration, technology, software development, Internet, software solution engineering, and maintenance services. The Mining Operation segment engages in the exploration and development of coal deposits, and sale of coking coal, as well as the provision of geological survey services. The Coal Operation segment provides coal trading and logistics services. The Cassava Starch Operation segment engages in cultivation, processing, and sale of cassava starch. The company also engages in energy development and equipment trading activities; and sale of equipment and services. Green Leader Holdings Group Limited has a strategic cooperation framework agreement with Guangxi State Farms Mingyang Biochemical Group, Inc. for the mutual development of cassava industry project in Cambodia. The company was formerly known as North Asia Resources Holdings Limited changed its name to Green Leader Holdings Group Limited in September 2017. Green Leader Holdings Group Limited was founded in 1993 and is headquartered in Central, Hong Kong.",www.greenleader.hk,hong_kong,Food & Beverages,Crop production,Agribusiness,Manufacturing,TRUE,S&P gives China as main location of operations. Orbis lists Mongolia/China as focus of operations. Company website lists only Chinese operations.
303,Heineken Holding,"Heineken Holding supervises the management of the Heineken group. The company was established in 1952 and is based in Amsterdam, the Netherlands.",www.heinekenholding.com,netherlands,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,,Orbis confirms NL HQ. Company is global and doesn't list specific HQ location on company website.
320,SHV Holdings,"SHV Holdings engages in energy distribution and marketing, cash and carry wholesale, industrial services, and heavy lifting and transport businesses worldwide. The company supplies liquefied petroleum gas under the Primagaz, Calor Gas, Liquigas, Super Gas, Ipragaz, Supergasbras, Xiweigas, and Gaspol brand names; distributes liquefied natural gas and renewable energy; and invests in renewable energy solutions and LPG technology, such as micro combined heat and power, and fuel cells. It also invests in joint ventures that are involved in oil and gas exploration, development, and production activities primarily in the Netherlands and the United Kingdom. In addition, the company engages in cash and carry wholesale with 161 Makro stores in South America, which sells food and non-food products to small and medium-sized retailers, hospitality industry, and the institutional market; and provides heavy lifting and transport solutions in the petrochemical, power, offshore, marine, and civil engineering sectors. SHV Holdings was founded in 1896 and is based in Utrecht, the Netherlands.",www.shv.nl,netherlands,Food & Beverages,Animal food,Agribusiness,Manufacturing,,Company website lists Utrecht as HQ.
321,Nestle,"Nestle provides nutrition, health, and wellness products worldwide. Its brands include Nestle Health Science, Nestle Nespresso, Nestle Purina Petcare and Nestle Waters. The company was founded in 1866 and is based in Vevey, Switzerland.",www.nestle.com,switzerland,Food & Beverages,Other (Food & Beverages),Agribusiness,Headquarters,,Company website lists CH as global HQ.
324,Seedstars,"Seedstars is a venture capital firm and accelerator specialising in startups and early-stage investments. The company was founded in 2012 and is based in Carouge, Switzerland.",www.seedstars.com/,switzerland,Business services,Other support services,Professional Services,Business Services,,Company website lists Switzerland as HQ and home of founders.
329,Wah Sun Hand-Bags,"Wah Sun Hand-Bag Factory Co. Limited was founded in 1985 and is based in Hong Kong. The Company's line of business includes the wholesale distribution of women's, children's, and infants' clothing and accessories.",www.wahsun.com.hk/,hong_kong,Textiles,Other leather & allied products,"Wood, Apparel & Related Products",Manufacturing,,Company website lists HK as HQ location.
344,Lucky Chain Limited Company,Lucky Chain Limited Company engages in renewable energy projects. The company is headquartered in Hong Kong.,,hong_kong,Renewable energy,Other electric power generation (Renewable Energy),Environmental Technology,Electricity,TRUE,"S&P lists parent company as Jigrui Holdings Limited (Shanghai). Orbis confirms Shanghai as location of operational HQ. Company website states that ""Lucky acts ""as a springboard for outbound Chinese investors""."
352,Luk Fook Holdings,"Luk Fook Holdings, an investment holding company, is engaged in sourcing, designing, wholesaling, trademark licensing, and retailing of various gold and platinum jewellery, gold ornaments, and gem-set jewellery. The company is involved in gold bullion trading; wholesaling polished diamonds; property holding; and the provision of quality examination services, as well as the authentication of gemstones. In addition, it provides software development and Internet-related services. Luk Fook Holdings was founded in 1991 and is headquartered in Jordan, Hong Kong.",www.lukfook.com.hk,hong_kong,Consumer products,Jewellery & silverware,Retail Trade,Retail,,Incorporated in Bermuda. Company website confirms HK HQ.
368,Good Resources Holdings,"Good Resources Holdings, an investment holding company, provides financial services in Hong Kong and China. The company is also involved in the equity investment and acquisition of company businesses. In addition, it provides telecommunication and management services. It was formerly known as Good Fellow Resources Holdings and changed its name in June 2015. The company is headquartered in Hong Kong.",www.hkex109.hk,hong_kong,Communications,"Data processing, hosting, & related services",ICT & Electronics,ICT & Internet Infrastructure,,Listed in Bermuda. Company website gives HK HQ location.
399,Fraser & Neave (Fraser and Neave),"Fraser and Neave, through its subsidiaries, operates in the food and beverage, property, publishing and printing industries. Additionally, it offers treasury and financial services, asset management, fund and property management and consultancy services. Fraser and Neave was founded in 1883 and is based in Singapore.",www.fraserandneave.com,singapore,Food & Beverages,Breweries & distilleries,Agribusiness,Manufacturing,,Company website confirms Singapore HQ.
419,SGS,"SGS is a multinational business solutions company which provides inspection, verification, testing and certification services. It has a network of more than 94,000 employees and operates 2600 offices and laboratories. SGS's core services can be divided into four categories. Inspection: SGS provides a comprehensive range of inspection and verification services to help to control quantity and quality, and meet all relevant regulatory requirements across different regions and markets. Testing: its global network of testing facilities, enable customers to reduce risks, shorten time to market and test the quality, safety and performance of products against regulatory standards. Certification: allows customers to demonstrate products, processes, systems or services are compliant with either national or international standards and regulations. Verification: ensures that products and services comply with global standards and local regulations. SGS was established in 1878 and is headquartered in Geneva, Switzerland.",www.sgs.com,switzerland,Business services,"Professional, scientific & technical services","Wood, Apparel & Related Products",Research & Development,,Orbis confirms Swiss HQ. Company website confirms CH HQ.
459,Shining Star International Holdings,"Shining Star International Holdings Limited, through its subsidiaries, engages in the business fields of real estate, commerce, hotel, education, health, decoration, sports, tourism, property management, etc. The company provides property management and business services; education investment and management, educational equipment and uniforms selling, and medical services; accommodation, hotel management, catering, and cigarette retail services; investment consulting and real estate development services; engineering management and supervision, technology consulting, and property management services; construction material selling and consulting services; and golf course construction and operation services. It also engages in the activities of business operation and management, exhibition, leashing, etc.; project investment and management, real estate development, import and export, etc.; interior decoration design and construction, landscaping design and construction, etc.; entertainment, apparatus selling, trade, etc.; real estate broker, business invitation, activity planning, etc.; real estate development and management of supporting facilities, gyms, etc.; and furniture production, management consulting, marketing plan, etc. The company was founded in 1993 and is headquartered in Hong Kong.",http://www.sinyaoo.com/,hong_kong,Automotive OEM,Automobiles,Transport Equipment,Manufacturing,,Orbis confirms HK HQ. Company website confirms HK HQ.
496,Corlido Group,"Netherlands-based Corlido Group specialises in procurement and supply chain management. Its remit includes operational buying, warehousing, logistics and all related administrative services and technical support. The company serves sectors ranging from education to oil and gas. Corlido Group was established in 1995 and is based in Emmen, the Netherlands.",www.corlido.nl,netherlands,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Sales, Marketing & Support",,Nothing on S&P. Nothing on Orbis. Company website confirms NL HQ.
512,Transsion Holdings (Tecno Telecom),"Transsion Holdings, formerly known as Tecno Telecom, engages in the research and development, production, sale, and service of mobile communication products. The firm was established in July 2006 and is based in Shenzhen, China. The company changed its name in the second half of 2013.",transsion.com/,hong_kong,Communications,Communications equipment,ICT & Electronics,Manufacturing,TRUE,"According to S&P origin appears to be Chinese (Tecno Telecom), HQ in Shenzen. Orbis confirms Shenzen HQ. Company website confirms HQ in Shanghai, but also an office in Hong Kong."
514,Ontex,"Ontex engages in the development, production, and sale of hygienic disposables worldwide. It offers a range of feminine hygiene products, such as sanitary towels, panty liners, and tampons; baby products, which include nappies and wipes; and incontinence products; and adult products, such as light inco, pull-ups, belt diaper, all in one, shaped pads, and bed protection. The company was established in 1979 and is based in Aalst, Belgium.",www.ontexglobal.com/,belgium,"Paper, printing & packaging",Converted paper products,Consumer Goods,Manufacturing,,Company website confirms Belgian HQ.
517,Tribe Theory,"Tribe Theory develops business-friendly hostel accommodation, designed to cater to the travelling startups, creative and entrepreneurial community. It was founded in 2018 and is based in Singapore.",tribetheory.com,singapore,Hotels & tourism,Accommodation,Tourism,Construction,,Singapore HQ confirmed via Medium article and Draper Startup House website.
521,SC Auto,SC Auto is a bus manufacturer. The company is headquartered in Singapore and was founded in 1998.,www.scauto.com.sg,singapore,Automotive OEM,Heavy duty trucks,Transport Equipment,Manufacturing,,Singapore HQ confirmed via Orbis. Company website confirms Singapore HQ.
529,Bok Seng Logistics,Bok Seng Logistics is a provider of total logistics services including integrated logistics management and project logistics management. The company was founded in 1975 and is based in Singapore.,www.bokseng-ipl.com,singapore,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Logistics, Distribution & Transportation",,No info on S&P capital. Company website indicates Singapore HQ.
542,FBS Markets,FBS Markets is a Belize-registered Forex broker which was founded in 2009. It is headquartered in Belmopan and focuses mostly on clients in Asia.,www.fbs.com,belize,Financial services,Corporate & investment banking,Financial Services,Business Services,,Company website confirms Belize HQ.
561,Capillary Technologies,"Capillary Technologies offers a customer analytics-driven integrated marketing platform that provides omni-channel solutions for retailers worldwide. It provides cloud-based software solutions that enable retail marketers to build, manage, and analyse customer data to gather deep insights and personalise customer engagement across social media, mobile, e-mail, online, and in-store channels. The company offers intelligent customer engagement suite of products through the customer engagement management platform. The company was founded in 2008 and is based in Singapore, having relocated from Bangalore, India in July 2012.",capillarytech.com,singapore,Software & IT services,"Software publishers, except video games",Retail Trade,"Sales, Marketing & Support",,"Orbis confirms Singapore HQ. However, company website clearly states HQ is in India."
563,AIA Group (American International Assurance),"AIA Group Limited provides various products and services for insurance, protection, savings, investment, and retirement needs of individuals and businesses. It offers life, pensions, and accident and health insurance products; savings and investment products; wealth management solutions; and employee benefits, credit insurance, and retirement services. The company distributes its products and services through direct marketing, agents, and bancassurance relationships primarily in Hong Kong, Thailand, Singapore, Malaysia, China, Korea, the Philippines, Indonesia, Vietnam, India, Australia, New Zealand, and Taiwan. American International Assurance was founded in 1919 and is headquartered in Central, Hong Kong.",www.aia.com,hong_kong,Financial services,Insurance,Financial Services,"Sales, Marketing & Support",,Company website confirms HK HQ location.
565,Ringier,"Ringier is a media group in Switzerland, founded in 1833 in Zofingen and based in Zurich, Switzerland.",www.ringier.ch,switzerland,Business services,"Newspaper, periodical, book, & directory publishers",Creative Industries,Business Services,,Company website confirms CH HQ.
578,Soilbuild Group,"Soilbuild Group engages in constructing, developing, and managing residential and business space properties. The company focuses on designing, building, and leasing/selling real estate products. Soilbuild Group was founded in 1976 and is headquartered in Singapore.",www.soilbuild.com,singapore,Real estate,Commercial & institutional building construction,Construction,"Sales, Marketing & Support",,Orbis confirms Singapore HQ. Company website lists Singapore contact address.
583,WISeKey,"WISeKey is an Internet security company which provides technologies for digital identities of people, objects, mobiles, personal clouds and authentication to secure communications and transactions. The company was founded in 1999 and is based in Geneva, Switzerland.",www.wisekey.com,switzerland,Software & IT services,"Software publishers, except video games",Financial Services,Research & Development,,Orbis confirms CH HQ. Company website confirms CH HQ.
591,VicPlas International,"Vicplas International, an investment holding company, researches, designs, develops, manufactures, and assembles medical devices. It operates through two segments, pipes and pipe fittings, and medical devices. Vicplas International was founded in 1993 and is based in Singapore.",www.vicplas.com,singapore,Plastics,"Plastic pipes, pipe fitting & unlaminated profile shapes",Industrial,Manufacturing,,Orbis confirms Singapore HQ. Company website confirms Singapore HQ.
619,VEON (VimpelCom),"Veon, a communications and technology company, through its subsidiaries, provides mobile and fixed-line telecommunications services. The company offers its services under the Beeline, Kyivstar, anglalink, Jazz, and Djezzy brands. The company was formerly known as VimpelCom and changed its name to Veon in March 2017. Veon was founded in 1992 and is headquartered in Amsterdam, the Netherlands.",veon.com,netherlands,Communications,Wired telecommunication carriers,ICT & Electronics,ICT & Internet Infrastructure,TRUE,A google search indicates VimpelCom is a Russian company
625,Meinhardt,"Meinhardt, through its subsidiaries, offers engineering, planning, and management consultancy services. The company is based in Singapore.",www.meinhardtgroup.com,singapore,Business services,Heavy & civil engineering,Industrial,Business Services,,Orbis and company website confirms Singapore HQ.
