#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,source_is_th,destination_is_th,source_questionable,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
70,2018-09-01,#350844,Tuttnauer,Tuttnauer,"The Netherlands-based Tuttnauer manufactures autoclaves, plasma sterilizers and washer-disinfectors. The company was founded in 1925 and is based in Breda, the Netherlands.",tuttnauer.com,,,,1925.0,,+31765423510,Western Europe,netherlands,South Netherlands,Noord-Brabant,Breda,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Medical devices,Medical equipment & supplies,Life sciences,"Sales, Marketing & Support",18,Yes,1.9,Yes,New,Opened,,,,https://tuttnauer.com/blog/making-inroads-in-africa,True,False,True,True,False,False,medical_devices_medical_equipment_and_supplies_sales_marketing_and_support,False,False,2018
79,2018-09-01,#316053,Albwardy Investment,Albwardy Investment,"Albwardy Investment is a holding company founded in 1976 to aggregate various business concerns held by founder Ali Saeed Juma Albwardy. The company operates in food retailing and distribution, construction, engineering, hospitality and hotel proprietary, holding sole ownership, joint venture or stakes in equity. Headquartered in Dubai, UAE, its portfolio consists of 30 companies across the Middle East, Africa, Europe, Asia and south America.",www.albwardy.com,,,,1976.0,info@albwardy.com,+97143511333,Middle East,uae,Dubai,Not Specified,Dubai,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Hotels & tourism,Accommodation,Tourism,Construction,202,Yes,100.2,Yes,New,Announced,,,,https://fanabc.com/english/2018/09/hyatt-to-open-first-ethiopia-hotel-as-africa-china-travel-grows/,False,False,False,False,True,False,hotels_and_tourism_accommodation_construction,False,False,2018
124,2018-08-01,#312648,VoxAfrica,VoxAfrica,"Voxafrica is a bi-lingual, news and general entertainment channel offering programmes and interactive services on cable, satellite, internet, IPTV and also available in hotels throughout Africa. The company was founded in 2007 and is headquartered in London, UK.",voxafrica.com,,,,2007.0,sales@voxafrica.com,+445603863913,Western Europe,united_kingdom,South East (UK),Greater London,London,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Communications,Radio & TV broadcasting,Creative Industries,"Sales, Marketing & Support",37,Yes,4.7,Yes,New,Announced,,,,https://www.linkedin.com/company/voxafrica/,False,False,False,True,False,False,communications_radio_and_tv_broadcasting_sales_marketing_and_support,False,False,2018
127,2018-08-01,#322570,KPR Mill,KPR Mill,"K.P.R. Mill Limited, together with its subsidiaries, operates as an integrated apparel manufacturing company in India and internationally. It operates through three segments: textiles, sugar, and others. The company offers yarn, and knitted grey and dyed fabrics, as well as readymade apparel. It also produces sugar; green energy through co-gen power; and wind power, as well as acts as a dealer for AUDI cars. K.P.R. Mill Limited was founded in 1984 and is based in Coimbatore, India.",www.kprmilllimited.com,410.05,13424.0,,1984.0,corporate@kprmill.com,+914222207777,Asia-Pacific,india,Tamil Nadu,Not Specified,Coimbatore,Africa,ethiopia,Tigray,Not Specified,Not Specified,,,Textiles,Textiles & Textile Mills,"Wood, Apparel & Related Products",Manufacturing,500,No,5.0,No,New,Opened,"P. Nataraj, managing director, ""Labour costs are about 40%-50% cheaper in Ethiopia. Power costs are also lower by about 50%.""",,,The Times of India,False,False,False,False,True,False,textiles_textiles_and_textile_mills_manufacturing,False,False,2018
128,2018-08-01,#345780,Kingdom,Kingdom,"Kingdom is a linen yarn manufacturer. The company was founded in 2006 and is headquartered in Henggang, China. It has additional locations across China, in Europe and in Africa.",www.kingdom-china.com,,,,2006.0,kingdom@kingdom-china.com,+8657386782999,Asia-Pacific,china,Zhejiang,Not Specified,Henggang,Africa,ethiopia,Oromia,Not Specified,Adama,,,Textiles,Textiles & Textile Mills,"Wood, Apparel & Related Products",Manufacturing,3000,Yes,200.0,No,New,Announced,,,,http://ethiopia.breaking-news365.com/ethiopia-chinese-firm-ploughes-70m-into-textile-plant.html,False,False,False,False,True,False,textiles_textiles_and_textile_mills_manufacturing,False,False,2018
133,2018-07-01,#310691,EKOS Steel Mill,CH International Corporation,"CH International Corporation operates as an electronic component manufacturer with a focus on microwave components. The company was established in 2003 and is headquartered in Seoul, South Korea.",www.chcorporation.net,,,,2003.0,,,Asia-Pacific,south_korea,Seoul,Not Specified,Seoul,Africa,ethiopia,Oromia,Not Specified,Dukem,,,Metals,Iron & steel mills & ferroalloy,Industrial,Manufacturing,92,No,30.88,No,New,Opened,,,,http://www.investethiopia.gov.et/index.php/information-center/news-and-events/707-nation-greets-its-12th-steel-mill.html,False,False,False,False,True,False,metals_iron_and_steel_mills_and_ferroalloy_manufacturing,False,False,2018
136,2018-07-01,#311824,Isuzu Motors,Isuzu Motors,"Isuzu Motors manufactures and sells commercial and light commercial vehicles, and engine components worldwide. Its products include heavy, medium, and light-duty trucks; heavy/medium duty busses; pickup trucks; and sports utility vehicles, as well as automotive, marine, and industrial engines. Isuzu Motors Limited sells its products primarily through a network of trading companies and other partners. The company was formerly known as Diesel Automobile Industry and changed its name to Isuzu Motors in July 1949. Isuzu Motors was founded in 1916 and is headquartered in Tokyo, Japan.",www.isuzu.co.jp,27508.0,36856.0,,1916.0,,+81354711141,Asia-Pacific,japan,Kanto,Tokyo,Tokyo,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Automotive OEM,Heavy duty trucks,Transport Equipment,Manufacturing,851,Yes,89.0,Yes,New,Announced,,,,https://www.thereporterethiopia.com/article/isuzu-install-assembly-plant-ethiopia,False,False,False,True,False,False,automotive_oem_heavy_duty_trucks_manufacturing,False,False,2018
160,2018-07-01,#308151,DP World,Dubai World,"Dubai World, through its subsidiaries, provides transport and logistics, drydocks and maritime, urban development and investment, and financial services. The company offers international marine terminal operations and development, logistics and related services; maritime services to industry and government sectors; and stevedoring services, such as containers, bulk, general and project cargoes, car carriers, reefer vessels stores, passenger vessel stores, and baggage handling. The company is based in Dubai, United Arab Emirates, and was established in 2006.",www.dubaiworld.ae,8533.0,0.0,,2006.0,info@dpworld.com,+97148811110,Middle East,uae,Dubai,Not Specified,Dubai,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Transportation & Warehousing,Freight/Distribution Services,Transportation & Warehousing,"Logistics, Distribution & Transportation",67,Yes,164.5,Yes,New,Announced,,Landlocked countries in Africa,,https://www.arabianbusiness.com/transport/399711-dp-world-to-set-up-facility-in-ethiopia,False,False,False,False,True,False,transportation_and_warehousing_freightdistribution_services_logistics_distribution_and_transportation,False,False,2018
178,2018-06-01,#307363,Malteries Soufflet,Soufflet,"Soufflet is a cereal collection company. The company processes barley and wheat and trades globally in cereals, oil seeds, and dairy products. It supplies and markets its products to the agricultural and vineyard industries as well as food manufacturers, catering companies, and retailers. The company is based in Nogent sur Seine, France.",www.soufflet.com,7258.34,6851.0,,1900.0,,+33325394111,Western Europe,france,Grand Est,Aube,Nogent-sur-Seine,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Food & Beverages,Grains & oilseed,Agribusiness,Manufacturing,327,Yes,67.7,Yes,New,Announced,"A country of 100 million people, Ethiopia is growing in both demographic and economic terms. Ethiopia is also the 4th largest beer-producing country in Africa and this sector is growing strongly. To date, 70% of malt requirements are imported. This market with high potential is very promising for Malteries Soufflet, especially as its main brewing customers are present in the country.",,,https://www.soufflet.com/Medias/Espace-Presse2/Malteries-SOUFFLET-s-implante-en-Ethiopie-un-projet-global-a-fort-potentiel,False,False,False,True,False,False,food_and_beverages_grains_and_oilseed_manufacturing,True,False,2018
191,2018-05-01,#311881,Voith Hydro,Voith Group,"Germany-based Voith Group, an engineering company, provides plants, products, and industrial services for energy, oil and gas, paper, raw materials, and transportation and automotive markets. It operates in four segments Voith Hydro, Voith Industrial Services, Voith Paper, and Voith Turbo. Voith Group was founded in 1825 and is based in Heidenheim an der Brenz, Germany.",www.voith.com,5035.7,19000.0,,1825.0,,+497321376848,Western Europe,germany,Baden-Wurttemberg,Stuttgart,Heidenheim an der Brenz,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Industrial equipment,Power transmission equipment,Environmental Technology,"Sales, Marketing & Support",12,Yes,2.9,Yes,New,Opened,"Uwe Wehnhardt, chief executive officer, Voith Hydro, explained; ""Good market conditions and the proximity to our customers and partners, as well as the hydropower market potential and impressive economic development in recent years, make Ethiopia an ideal base for our new site. Due to the longstanding history of hydropower projects in Ethiopia, there are a large number of well-trained experts in the country.""","East Africa including Egypt, Kenya, Sudan, South Sudan, Rwanda, Tanzania, Uganda and Zambia.",,http://www.africanreview.com/energy-a-power/renewables/voith-opens-new-centre-for-hydropower-projects-in-east-africa,False,False,False,True,False,False,industrial_equipment_power_transmission_equipment_sales_marketing_and_support,False,False,2018
213,2018-05-01,#304941,Lonto Garment,Shangtex Holding,"Shangtex Holding Co.,Ltd manufactures and supplies industrial textiles in the People's Republic of China. The company offers automotive textiles for car carpets, knitted interiors, headliners, safety belts, coat rack assemblies, car foot pads, molded interiors, interior and decorative fabrics, anti-vibration pads, and fittings. It also provides membrane fabrics and textile composites, architecture and geo-synthetic materials, functional polyester and chemical fiber materials, polysulfonamide and polyester fibers, lyocell and lyocell bamboo fibers, rand underwear's, apparels, knitted fabrics, shirts, suits, casual wear, home textiles, accessories, stocks, dye and cotton yarns, and yarn-dyed fabrics. In addition, the company trades in textiles, apparel, raw industrial materials and products, medical equipment, shoes, bags, luggage, automotive parts, wine, synthetic fibers, and cotton. Further, it provides bonded storage, services trade, cargo breaking, labelling, fashion event, creative, entertainment, wedding photography, fashion designing and magazine, education, and training services; testing services for industrial textiles; textile technology information, environment inspection, textile and civil architecture design, EPC, and electronic commerce services; and investment and financing, textile and garment exhibition, printing and packaging, logistics, real estate management, construction, asset management, industrial park investment and management, and hotel and conference services. Additionally, the company researches and develops textile products, technology, equipment, synthetic fibers, garments, and color weaving products; designs fashion textile fabrics, and textile dyeing and printing technology; designs and develops clothing, apparel, and wool textile fabrics; and licenses brands. It also exports its products. The company operates a distribution network of 8500 points of sales. Shangtex Holding Co.,Ltd is based in Shanghai, the People's Republic of China.",www.shangtex.biz,,,,,,,Asia-Pacific,china,Shanghai Municipality,Not Specified,Shanghai,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,Eastern Industry Zone,,Textiles,Clothing & clothing accessories,"Wood, Apparel & Related Products",Manufacturing,400,No,1.96,No,New,Opened,,"Belgium, Brazil, Italy, Poland, Japan, Turkey, the United States and South Africa",,https://addisfortune.net/articles/chinese-firm-comes-to-ethiopia-to-test-the-waters/,False,False,False,False,True,False,textiles_clothing_and_clothing_accessories_manufacturing,False,False,2018
221,2018-05-01,#306259,Coca-Cola Beverages Africa (Sabco),Coca-Cola,"Coca-Cola develops non-alcoholic beverages, including Diet Coke, Fanta, Sprite, and Simply. The company was established in 1886 and is headquartered in Atlanta, Georgia, US.",www.cocacola.com,33010.0,80300.0,,1886.0,,+27413954111,North America,united_states,Georgia,Fulton County (GA),Atlanta (GA),Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Soft drinks & ice,Agribusiness,Manufacturing,327,Yes,67.7,Yes,New,Announced,,,,http://www.engineeringnews.co.za/topic/coca-cola-co-company,False,False,False,True,False,False,food_and_beverages_soft_drinks_and_ice_manufacturing,False,False,2018
232,2018-04-01,#304158,Fairfax Africa Fund,Fairfax Africa Fund,"Fairfax Africa Fund, is an investment firm with a focus on infrastructure, technology and real estate. Through multiple investment platforms, it also provides financing as private equity, venture capital and mezzanine. The company is headquartered in McLean, Virginia, United States.",www.fairfaxafrica.com,,,,,,+17036773151,North America,united_states,Virginia,Fairfax City County (VA),McLean (VA),Africa,ethiopia,Afar,Not Specified,Awash,,,"Coal, oil & gas",Petroleum refineries,Energy,Manufacturing,630,Yes,4000.0,No,New,Announced,,Ethiopia and east Africa,,http://www.investethiopia.gov.et/index.php/information-center/news-and-events/633-fairfax-plans-to-build-usd-4-bln-oil-refinery-in-ethiopia.html,False,False,False,True,False,False,coal_oil_and_gas_petroleum_refineries_manufacturing,False,False,2018
242,2018-04-01,#302020,Krones,Krones,"Krones plans, develops, and manufactures machinery and systems for the fields of process technology, filling and packaging technology, and intralogistics in Germany and internationally. The company operates through three segments: machines and lines for product filling and decoration, machines and lines for beverage production/process technology, and machines and lines for the low output range. It provides plant engineering solutions, such as planning new plants, plant expansion, plant structural planning, and energy and media optimisation. It serves breweries, the soft-drinks sector, and producers of still or sparkling wines and spirits, as well as food and luxury-goods, chemical, cosmetics, and pharmaceutical industries. Krones was founded in 1951 and is headquartered in Neutraubling, Germany.",www.krones.com,3041.4,16000.0,,1951.0,info@krones.com,+499401700,Western Europe,germany,Bavaria,Upper Palatinate,Neutrabling,Africa,ethiopia,Addis Ababa,Not Specified,Addis Ababa,,,Industrial equipment,Food product machinery,Agribusiness,"Sales, Marketing & Support",12,Yes,2.9,Yes,New,Opened,"Arie De Keijzer, manager, operations, Ethiopia, said; ""We see an overwhelming potential in Ethiopia and a great mutual market for us and the companies we will be involved with.""",,,https://www.thereporterethiopia.com/article/krones-opens-shop-ethiopia,False,False,False,True,False,False,industrial_equipment_food_product_machinery_sales_marketing_and_support,False,False,2018
315,2018-02-01,#298463,Compre y Compare (Celorrio),Compre y Compare (Celorrio),"Compre y Compare, also known as Conservas Celorrio, engages in the production and distribution of fruits and vegetables. It offers tomatoes, asparagus, pickles, peppers, vegetables, fruits and jams, various, mushrooms, pulses, and wines and juices. The company was founded in 1987 and is based in Calahorra, Spain with factories in Tauste, Valdivia, and Logrono, Spain; and China.",www.celorrio.com,93.51,,,1987.0,info@celorrio.com,+34941132803,Western Europe,spain,La Rioja,La Rioja,Not Specified,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Food & Beverages,Fruits & vegetables & specialist foods,Agribusiness,Manufacturing,327,Yes,67.7,Yes,New,Opened,,,,https://www.alimarket.es/alimentacion/noticia/261668/grupo-celorrio-pone-en-marcha-su-macrocomplejo-en-etiopia,False,False,False,True,False,False,food_and_beverages_fruits_and_vegetables_and_specialist_foods_manufacturing,True,False,2018
338,2018-01-01,#296359,Dangote Group,Dangote Group,"Nigeria-based Dangote Group, a business conglomerate, engages in the cement, sugar, salt, pasta, beverages and real estate businesses in Africa. Its activities include manufacturing and importing cement, manufacturing and refining sugar, refining salt, milling flour and semolina, port services and haulage. The company was founded in 1981 and is headquartered in Lagos, Nigeria.",www.dangote-group.com,,34.0,,1981.0,corporate.communications@dangote.com,+23414480815,Africa,nigeria,Lagos State,Not Specified,Lagos,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,"Paper, printing & packaging","Other (Paper, printing & packaging)",Construction,Manufacturing,171,Yes,48.4,Yes,New,Announced,,,,http://www.investethiopia.gov.et/index.php/information-center/news-and-events/590-dangote-group-diversifying-investment-in-ethiopia.html,False,False,False,False,True,False,paper_printing_and_packaging_other_paper_printing_and_packaging_manufacturing,False,False,2018
339,2018-01-01,#296374,Hela Clothing,Monitane Holdings,"Monitane Holdings, through its subsidiaries, sells branded and own-label clothing. The company was incorporated in 2003 and is based in Dunstable, UK",,,,,2003.0,info@helaclothing.com,+94114324393,Western Europe,united_kingdom,East of England,Bedfordshire,Dunstable,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Textiles,Clothing & clothing accessories,"Wood, Apparel & Related Products",Manufacturing,1200,No,33.3,Yes,Expansion,Announced,,,,http://www.investethiopia.gov.et/index.php/information-center/news-and-events/592-hela-clothing-ships-one-millionth-garment-from-ethiopia.html,False,False,False,True,False,False,textiles_clothing_and_clothing_accessories_manufacturing,False,False,2018
342,2018-01-01,#297005,Intrade UK,Intrade UK,"Intrade UK engages in the sale of agricultural raw materials, livestock, textile raw materials and semi-finished goods. The company was established in 2009 and is headquartered in London, UK.",,,,,2009.0,,+442085669090,Western Europe,united_kingdom,South East (UK),Greater London,London,Africa,ethiopia,Dire Dawa,Not Specified,Dire Dawa,,,Textiles,Textiles & Textile Mills,"Wood, Apparel & Related Products",Manufacturing,1300,No,100.0,No,New,Announced,,,,https://www.ethioembassy.org.uk/british-company-build-100-million-textile-factory/,False,False,False,True,False,False,textiles_textiles_and_textile_mills_manufacturing,False,False,2018
345,2018-01-01,#293439,Lucky Chain Limited Company,Lucky Chain Limited Company,Lucky Chain Limited Company engages in renewable energy projects. The company is headquartered in Hong Kong.,,,,,,,,Asia-Pacific,hong_kong,Hong Kong,Hong Kong,Hong Kong,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Renewable energy,Other electric power generation (Renewable Energy),Environmental Technology,Electricity,44,Yes,167.8,Yes,New,Announced,"""Ethiopia is really a very exciting and dynamic country and we believe that Ethiopia is probably going to be one of the major players in the African market"", said chairman Chang Tat Joel.",,,http://www.investethiopia.gov.et/index.php/information-center/news-and-events/585-company-to-invest-about-2-bn-usd-in-renewable-energy-in-ethiopia.html,True,False,True,False,True,False,renewable_energy_other_electric_power_generation_renewable_energy_electricity,False,False,2018
349,2018-01-01,#294713,Tosyali Holding,Tosyali Holding,"Turkey-based Tosyali Holding manufactures flat steel and steel pipe products. The company was founded in 1952 and is based in Istanbul, Turkey.",www.tosyaliholding.com.tr,,0.0,,1952.0,info@tosyaliholding.com.tr,+902165443600,Emerging Europe,turkey,Turkey,Istanbul,Istanbul,Africa,ethiopia,Not Specified,Not Specified,Not Specified,,,Metals,Steel products,Industrial,Manufacturing,331,Yes,126.4,Yes,New,Announced,,Ethiopia initially and then Africa,,https://www.metalbulletin.com/Article/3781358/Carbon-steel/Turkeys-Tosyali-Holding-to-build-billet-rebar-steelmaking-plant-in-Ethiopia.html?utm_campaign=Email+verification&utm_content=2018-01-22&utm_term=Verification+link&utm_medium=Email+operational&utm_source=Registration+Form&r=verified,False,False,False,False,True,False,metals_steel_products_manufacturing,False,False,2018
