#,project_date,project_ref#,investing_company,parent_company,company_profile,website,revenue_(usd_m),headcount,r&d_expenditure_(usd_m),year_established,company_email,company_telephone,source_region,source_country,source_state,source_admin_region_(us_county),source_city,destination_region,destination_country,destination_state,destination_admin_region_(us_county),destination_city,free_zone,relocation,sector,sub_sector,cluster,activity,jobs_created,estimated,capital_investment,estimated.1,project_type,project_status,motive_description,markets_served,joint_venture_companies,source,developed,emne,bordering_country,industry,natural_resource_ind,colonial_link,year
413,2017-11-01,#288454,Bayer,Bayer,"Bayer makes prescription products and works in oncology, haematology, ophthalmology through its Pharmaceuticals division; OTC products like Claritin and Canesten via its Consumer Health division; and crop protection and pest control via its Crop Science division. Its top-selling pharmaceuticals include oral anticoagulant Xarelto and eye disease medicine Eylea. Also known as Bayer Group, the company has approximately 385 operating subsidiaries worldwide. The company was established in 1863 and is headquartered in Leverkusen, Germany.",www.bayer.com,48015.97,99640.0,6746.0,1863.0,info@bayer.com,+49214301,Western Europe,germany,North-Rhine Westphalia,Cologne,Leverkusen,Africa,mozambique,Maputo,Not Specified,Maputo,,,Food & Beverages,Grains & oilseed,Agribusiness,"Sales, Marketing & Support",16,Yes,4.5,Yes,New,Opened,"""With the promising economic trends pointing upwards, we believe that we are coming into Mozambique at the right time to make our contribution in the region."" - Dr Klaus Eckstein, head (southern Africa), crop science.",,,http://www.bizcommunity.com/Article/196/148/169628.html,True,False,False,food_and_beverages_grains_and_oilseed_sales_marketing_and_support,False,False,2017
428,2017-11-01,#302401,Standard Bank Group,Standard Bank Group,"Standard Bank Group, together with its subsidiaries, offers various banking and financial products to customers in South Africa and internationally. It operates in three segments: personal and business banking; corporate and investment banking; and wealth-liberty. The company was founded in 1862 and is based in Johannesburg, South Africa.",www.standardbank.co.za,6530.0,49220.0,,1862.0,information@standardbank.co.za,+27116369111,Africa,south_africa,Gauteng,Not Specified,Johannesburg,Africa,mozambique,Maputo,Not Specified,Maputo,,,Financial services,Retail banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Opened,,,,http://clubofmozambique.com/news/new-shopping-mall-opens-on-maputos-marginal/,False,True,True,financial_services_retail_banking_business_services,False,False,2017
476,2017-09-01,#294811,Millennium BIM,Banco Comercial Portugues (Millennium BCP),"Banco Comercial Portugues (Millennium BCP) together with its subsidiaries, provides various banking and financial products and services. The company offers a range of financial products and services, including current accounts, payment systems, savings and investment products, and private banking services; and asset management and investment banking services, such as mortgage loans, consumer credit, commercial banking, leasing, factoring and insurance, and others, as well as personal, mortgage, and automobile loans. It was founded in 1985 and is headquartered in Porto, Portugal.",www.millenniumbcp.pt,4002.858,,,1985.0,cac@millenniumbim.co.mz,+25821350035,Western Europe,portugal,Portugal,Porto,Porto,Africa,mozambique,Cabo Delgado,Not Specified,Ancuabe,,,Financial services,Retail banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Opened,,,,http://inst.millenniumbim.co.mz/pt/Imprensa/Documents/ComunicadoMbim-Inaugura%C3%A7%C3%A3oBalc%C3%A3oAncuabeVF.PDF,True,False,False,financial_services_retail_banking_business_services,False,True,2017
481,2017-08-01,#282889,Anadarko Petroleum,Anadarko Petroleum,"Anadarko Petroleum is engaged in the exploration, development, production, and marketing of oil and gas properties. It operates through three segments: Oil and Gas Exploration and Production; Midstream; and Marketing. The company explores for and produces natural gas, crude oil, condensate, and natural gas liquids (NGLs). It also operates and provides gathering, processing, treating, and transportation systems and services. In addition, the company sells oil, natural gas, anticipated liquefied natural gas, and NGLs of third-party purchased volumes. As of December 31, 2013, it had approximately 2.8 billion barrels of oil equivalent of proved reserves. The company was founded in 1959 and is headquartered in The Woodlands, Texas.",www.anadarko.com,14581.0,,,1959.0,,+18326361000,North America,united_states,Texas,Montgomery County (TX),The Woodlands (TX),Africa,mozambique,Cabo Delgado,Not Specified,Not Specified,,,"Coal, oil & gas","Natural, liquefied and compressed gas",Energy,Manufacturing,201,Yes,1384.9,Yes,New,Announced,,,,,True,False,False,coal_oil_and_gas_natural_liquefied_and_compressed_gas_manufacturing,False,False,2017
485,2017-08-01,#282880,Eni SpA,Eni SpA,"Eni SpA explores for and produces hydrocarbons in Italy, Africa, the North Sea, the Gulf of Mexico, Kazakhstan, and Australia. The company both produces natural gas and imports it for sale in Italy and elsewhere in Europe. Eni transports natural gas in pipelines. The company generates and trades electricity, refines oil, and operates gasoline service stations. Eni SpA was established in 1953 and is headquartered in Rome, Italy.",www.eni.it,77789.59,32689.0,179.81,1953.0,investor.relations@eni.com,+390659821,Western Europe,italy,Lazio,Roma,Rome,Africa,mozambique,Cabo Delgado,Not Specified,Not Specified,,,"Coal, oil & gas",Oil & gas extraction,Energy,Extraction,221,Yes,484.6,Yes,New,Announced,,,,,True,False,False,coal_oil_and_gas_oil_and_gas_extraction_extraction,True,False,2017
504,2017-07-01,#280867,Rosneft Oil Company,Rosneft Oil Company,"Rosneft Oil Company engages in the exploration, development, production, and sale of crude oil and gas, as well as refining, transportation, and sale of petroleum products. The company also offers various services, including field survey and exploration, gas processing, transportation, banking, electric-power transmission, and drilling services, as well as involved in the investment activities. The company was founded in 1993 and is based in Moscow, Russia.",www.rosneft.ru,102992.75,334600.0,454.988,1993.0,postman@rosneft.ru,+74995178899,Emerging Europe,russia,Central Federal District,Moscow (federal city),Moscow,Africa,mozambique,Not Specified,Not Specified,Not Specified,,,"Coal, oil & gas",Other petroleum & coal products,Energy,"Sales, Marketing & Support",34,Yes,8.5,Yes,New,Announced,,Africa,,,False,True,False,coal_oil_and_gas_other_petroleum_and_coal_products_sales_marketing_and_support,False,False,2017
508,2017-07-01,#281910,Tongaat Hulett,Tongaat Hulett,"Tongaat Hulett is an agriculture and agri-processing business, focusing on the complementary feedstocks of sugarcane and maize. The company through its sugar and starch operations, produces a range of refined carbohydrate products from sugarcane and maize, with a number of products being interchangeable. Tongaat Hulett also holds a substantial land portfolio. It was founded in 1892 and is based in Tongatt, South Africa.",www.tongaat.co.za,1353.83,38220.0,,1892.0,info@tongaat.com,+27324394000,Africa,south_africa,KwaZulu-Natal,Not Specified,Tongaat,Africa,mozambique,Maputo,Not Specified,Xinavane,,,Food & Beverages,Sugar & confectionary products,Agribusiness,Manufacturing,92,Yes,37.7701,No,Expansion,Announced,,,,,False,True,True,food_and_beverages_sugar_and_confectionary_products_manufacturing,False,False,2017
509,2017-07-01,#282435,Obtala Resources,Obtala Resources,"Obtala Resources, together with its subsidiaries, engages in agriculture, food production and timber projects. The company is also involved in processing and packaging fruits and vegetable; and the production of timber. The company was established in 2007 and is headquartered in London, UK.",obtala.com,1.5,,,2007.0,,+442070991940,Western Europe,united_kingdom,South East (UK),Greater London,London,Africa,mozambique,Nampula,Not Specified,Nampula,,,Wood products,Wood products,"Wood, Apparel & Related Products",Manufacturing,2573,Yes,45.3,Yes,New,Announced,,,,,True,False,False,wood_products_wood_products_manufacturing,False,False,2017
517,2017-07-01,#298126,Anhui Foreign Economic Construction,Anhui Foreign Economic Construction,"Anhui Foreign Economic Construction primarily engages in the construction activities in China. It also holds franchise prospecting and mining licenses for diamond, gold, emerald, titanium-zirconium, copper, and other mineral resources in various African countries, such as Zimbabwe, Zambia, Mozambique, and the Democratic Republic of Congo, as well as engages in real estate development activities. The company was founded in 1992 and is based in Hefei, China.",www.afecc.com,,,,1992.0,afecc@afecc.com,+8655163492558,Asia-Pacific,china,Anhui,Not Specified,Hefei,Africa,mozambique,Maputo,Not Specified,Maputo,,,Real estate,Commercial & institutional building construction,Construction,Construction,656,Yes,640.9,Yes,New,Opened,,,,http://clubofmozambique.com/news/afecc-mall-opens-in-maputo-cements-relations-between-mozambique-and-china/,False,True,False,real_estate_commercial_and_institutional_building_construction_construction,False,False,2017
520,2017-06-01,#278682,Eni SpA,Eni SpA,"Eni SpA explores for and produces hydrocarbons in Italy, Africa, the North Sea, the Gulf of Mexico, Kazakhstan, and Australia. The company both produces natural gas and imports it for sale in Italy and elsewhere in Europe. Eni transports natural gas in pipelines. The company generates and trades electricity, refines oil, and operates gasoline service stations. Eni SpA was established in 1953 and is headquartered in Rome, Italy.",www.eni.it,77789.59,32689.0,179.81,1953.0,investor.relations@eni.com,+390659821,Western Europe,italy,Lazio,Roma,Rome,Africa,mozambique,Not Specified,Not Specified,Not Specified,,,"Coal, oil & gas",Oil & gas extraction,Energy,Extraction,221,Yes,484.6,Yes,New,Announced,,,,,True,False,False,coal_oil_and_gas_oil_and_gas_extraction_extraction,True,False,2017
523,2017-06-01,#279620,China Road And Bridge Corporation (CRBC),China Communications Construction Company,"China Communications Construction Company, together with its subsidiaries, engages in the infrastructure construction and design, dredging, and heavy machinery manufacturing activities in China and internationally. The company undertakes various infrastructure construction projects, including ports, roads, bridges, railways, tunnels, and other projects. It is also involved in the infrastructure design of ports, roads, and bridges. The company was founded in 2006 and is based in Beijing, China.",www.ccccltd.cn,70692.85,,,2006.0,,+861064280055,Asia-Pacific,china,Beijing Municipality,Not Specified,Beijing,Africa,mozambique,Maputo,Not Specified,Marracuene,,,Real estate,Commercial & institutional building construction,Construction,Construction,18,Yes,4.2,No,New,Announced,,,,,False,True,False,real_estate_commercial_and_institutional_building_construction_construction,False,False,2017
534,2017-06-01,#280093,Shoprite,Shoprite,"South Africa-based Shoprite operates as a consumer goods retailer. It engages in the retail sale of furniture, appliances, home entertainment products and floor coverings as well as food products. Shoprite was founded in 1979 and is headquartered in the Brackenfell area of Cape Town, South Africa.",www.shoprite.co.za,10404.72,147480.0,,1979.0,,+27 0219804000,Africa,south_africa,Western Cape,Not Specified,Cape Town,Africa,mozambique,Cabo Delgado,Not Specified,Pemba,,,Food & Beverages,Food & beverage Stores,Retail Trade,Retail,132,Yes,13.4,Yes,New,Opened,,,,,False,True,True,food_and_beverages_food_and_beverage_stores_retail,False,False,2017
561,2017-05-01,#294808,Millennium BIM,Banco Comercial Portugues (Millennium BCP),"Banco Comercial Portugues (Millennium BCP) together with its subsidiaries, provides various banking and financial products and services. The company offers a range of financial products and services, including current accounts, payment systems, savings and investment products, and private banking services; and asset management and investment banking services, such as mortgage loans, consumer credit, commercial banking, leasing, factoring and insurance, and others, as well as personal, mortgage, and automobile loans. It was founded in 1985 and is headquartered in Porto, Portugal.",www.millenniumbcp.pt,4002.858,,,1985.0,cac@millenniumbim.co.mz,+25821350035,Western Europe,portugal,Portugal,Porto,Porto,Africa,mozambique,Maputo,Not Specified,Maputo,,,Financial services,Retail banking,Financial Services,Business Services,22,Yes,9.5,Yes,New,Opened,,,,http://inst.millenniumbim.co.mz/pt/Imprensa/Documents/ComunicadoMbimBalc%C3%A3oEmpresas.pdf,True,False,False,financial_services_retail_banking_business_services,False,True,2017
569,2017-04-01,#276993,Airswift Embrace,Airswift,"Airswift is an oil and gas recruitment agency. It provides contract, direct and executive placement services to oil and gas, and chemical industries. The company offers contract hire services, direct hire and executive search services. Airswift provides payroll and taxation, human resources and insurance, and travel and immigration services. The company was founded in January 2016 as the result of a merger between Air Energi Group and Swift Worldwide Resources.",www.airswift.com,,1559.0,,2016.0,,,North America,united_states,Texas,Harris County (TX),Houston (TX),Africa,mozambique,Cabo Delgado,Not Specified,Pemba,,,Business services,Employment services,Professional Services,Business Services,5,Yes,0.7,Yes,New,Announced,,,,,True,False,False,business_services_employment_services_business_services,False,False,2017
570,2017-04-01,#276995,Airswift Embrace,Airswift,"Airswift is an oil and gas recruitment agency. It provides contract, direct and executive placement services to oil and gas, and chemical industries. The company offers contract hire services, direct hire and executive search services. Airswift provides payroll and taxation, human resources and insurance, and travel and immigration services. The company was founded in January 2016 as the result of a merger between Air Energi Group and Swift Worldwide Resources.",www.airswift.com,,1559.0,,2016.0,,,North America,united_states,Texas,Harris County (TX),Houston (TX),Africa,mozambique,Cabo Delgado,Not Specified,Palma,,,Business services,Employment services,Professional Services,Business Services,5,Yes,0.7,Yes,New,Announced,"Richard Clay, director, business development, Africa; ""Mozambique's wealth of energy resources, particularly liquefied natural gas, make it an obvious strategic location for the company. This isn't about one immediate project but a long-term investment in an increasingly important area.""",,,,True,False,False,business_services_employment_services_business_services,False,False,2017
571,2017-04-01,#279630,China Jiang International Mozambique,China Jiang International Mozambique,China Jiang International Mozambique engages in construction and real estate projects in Mozambique. The company is headquartered in China.,,,,,,,,Asia-Pacific,china,Not Specified,Not Specified,Not Specified,Africa,mozambique,Maputo,Not Specified,Marracuene,,,Real estate,Commercial & institutional building construction,Construction,Construction,13,Yes,3.0,No,New,Announced,,,,https://yukonservice.wordpress.com/2017/04/12/chinese-investors-china-jiang-international-enter-marracuene-real-estate-market-and-more/,False,True,False,real_estate_commercial_and_institutional_building_construction_construction,False,False,2017
572,2017-04-01,#275814,Choppies,Choppies,"Botswana-based Choppies, an investment holding company, owns and operates a chain of supermarkets in sub-Saharan Africa. The company operates value stores, superstores, and hyperstores under the Choppies brand name. Its stores offer products, including fruits and vegetables, bakery, butchery, takeaway, kiosk, bulk buys, frozen foods, cold drinks, dairy and general merchandise. In addition, the company distributes meat. Choppies was founded in 1986 and is based in Gaborone, Botswana.",www.choppies.co.bw,,,,1986.0,info@choppies.co.bw,+2673186657,Africa,botswana,Kgatleng,Not Specified,Gaborone,Africa,mozambique,Tete,Not Specified,Not Specified,,,Food & Beverages,Food & beverage Stores,Retail Trade,Retail,132,Yes,13.4,Yes,New,Opened,,,,,False,True,False,food_and_beverages_food_and_beverage_stores_retail,False,False,2017
577,2017-04-01,#276424,Airswift,Airswift,"Airswift is an oil and gas recruitment agency. It provides contract, direct and executive placement services to oil and gas, and chemical industries. The company offers contract hire services, direct hire and executive search services. Airswift provides payroll and taxation, human resources and insurance, and travel and immigration services. The company was founded in January 2016 as the result of a merger between Air Energi Group and Swift Worldwide Resources.",www.airswift.com,,1559.0,,2016.0,,+7133284560,North America,united_states,Texas,Harris County (TX),Houston (TX),Africa,mozambique,Maputo,Not Specified,Maputo,,,Business services,Employment services,Professional Services,Business Services,5,Yes,0.7,Yes,New,Opened,"Richard Clay, head, business development, Africa, said; ""Mozambique's wealth of energy resources, particularly liquefied natural gas, make it an obvious strategic location for the company. This isn't about one immediate project but a long-term investment in an increasingly important area.""",,"Airswift, Embrace",,True,False,False,business_services_employment_services_business_services,False,False,2017
580,2017-04-01,#277373,Southern Sun Hotels,Tsogo Sun Holdings,"Tsogo Sun Holdings, through its subsidiaries, operates as a gaming, hotel and entertainment company. It operates Southern Sun branded hotels as well as approximately 14 casinos in South Africa. The company also owns, leases and manages approximately 94 hotels in Africa, the Middle East and the Seychelles. Tsogo Sun Holdings is based in Fourways, Johannesburg, South Africa.",www.tsogosunholdings.com,,,,1969.0,,+27115107500,Africa,south_africa,Gauteng,Not Specified,Johannesburg,Africa,mozambique,Maputo,Not Specified,Maputo,,,Hotels & tourism,Accommodation,Tourism,Construction,45,Yes,16.3633,No,New,Opened,,,,https://www.tsogosun.com/media/press-room,False,True,True,hotels_and_tourism_accommodation_construction,False,False,2017
586,2017-03-01,#273651,Matilda Minerals,Savannah Resources,"Savannah Resources is a is a multi-commodity development company. The Company explores and develops projects for minerals in Mozambique. Savannah Resources also has two lithium projects in Finland. The company was established in 2010 and is headquartered in London, UK.",www.savannahresources.com,,,,2010.0,,,Western Europe,united_kingdom,South East (UK),Greater London,London,Africa,mozambique,Not Specified,Not Specified,Not Specified,,,Minerals,Nonmetallic mineral mining & quarrying,Physical Sciences,Manufacturing,171,Yes,34.1,Yes,New,Announced,,,,,True,False,False,minerals_nonmetallic_mineral_mining_and_quarrying_manufacturing,False,False,2017
